Material,Predicted log Conductivity
LiNbP4O13,-3.0948029781760726
Na2LiFe(Si2O5)3,-4.2547017074774
LiFe(CO3)2,-4.757968225139273
LiPr(SO4)2,-3.291210403746567
LiVF3,-1.810592606142511
LiCoPO4,-3.8020303432844953
LiSbF6,-3.0268210406292804
Cs2LiTlF6,-4.012299773497569
LiI,-1.8660364630898743
LiYO2,-1.3628884518378825
LiAlSiO4,-3.9993398502504593
LiU4As3O20,-2.9451206122182536
LiH6BrO7,-2.770314713163997
LiTaF6,-3.3411850116718926
LiFeBO3,-4.996693479209637
LiCaBO3,-4.068807813035439
Cs2LiInCl6,-3.235044791996093
Rb2LiCeI6,-2.9128474483339444
LiTbSe2,-3.168184879193307
Sr3LiTaO6,-2.616554183753455
Cs2LiBiCl6,-3.1243369474520075
LiMg30FeO32,-2.8768177838325633
LiCa9Co(PO4)7,-2.9861807732216157
NaLiV2O6,-1.9298765203149517
LiAs3H2O9,-3.992564926914392
KLiH2WO5,-2.8169079144620266
LiMnPO4,-3.697979490591744
Na2LiFePCO7,-4.274347308279453
LiMn2P3O10,-3.3731057879697692
KLiTe,-2.1336285916415942
LiFeBO3,-4.996693479209637
LiUPO6,-2.0357130065317297
K2LiFeF6,-2.8305461399915086
LiTbS2,-3.0099204376703614
LiCoPO4,-3.8020303432844953
LiCrP2O7,-3.9331363735254006
LiPrO2,-2.6290333377988953
LiCr(MoO4)2,-3.7115754025153302
K2LiBO3,-3.4657540631452366
LiErSe2,-3.234143616134188
LiFe(SiO3)2,-4.538858765662042
LiHS,-1.7860796718860243
LiVP2(HO4)2,-2.8758146312594906
LiV2P3O10,-2.0999957322014176
Cs2LiSmCl6,-3.0599884117051257
LiTaGeO5,-3.2987043194607195
LiCr(SO4)2,-3.356496147131795
LiVPO4,-1.140695138263011
LiNbNiO4,-3.819250029173876
KNa2LiZr2(Si2O5)6,-3.4458328863089056
LiZnPO4,-3.923099164364997
SrLiFeF6,-4.127569832280996
LiCaAlF6,-4.4381797894152655
LiMg4Al(MoO4)6,-5.033213482164225
Rb2LiYI6,-2.9461583638563185
LiCa2Mn2Si5HO15,-4.246918803239197
Cs3LiI4,-3.1368924123013064
LiFeF3,-3.8079218048836485
LiVFe(P2O7)2,-2.3407291107056256
LiHSeO3,-3.3464349662020076
LiAlSiO4,-3.9993398502504593
LiAl(SiO3)2,-4.124827328558294
LiCa9Mn(PO4)7,-3.054542716199415
Ba3LiTi5(SbO7)3,-2.5919169378986293
KLiSm2(MoO4)4,-4.288835550910766
Na2LiMnPCO7,-4.127440815435907
LiMnPO4,-3.697979490591744
K2LiInCl6,-3.2226067805177836
LiMg14CrO16,-2.8883659837651874
LiMoP2O7,-3.625604097006902
LiVP2O7,-2.879443423826046
LiMnF5,-3.8259738729532993
LiNi2P3O10,-3.338061969683734
LiVFeP2(HO5)2,-2.78753387737203
SrLiTi4CrO11,-2.1585224949333295
LiInSe2,-4.067860753749834
NaLiMgPO4F,-2.755571264962129
BaLiBS3,-3.578669485049413
LiMn(PO3)3,-3.9798173224456264
LiSiBO4,-4.515681593058066
KLiTm2(MoO4)4,-4.363335653801744
LiMnF3,-3.5514444029773338
LiZnPH2O5,-3.2638336160450994
LiUAsO6,-2.770182774098806
LiV(SiO3)2,-4.021756876376086
LiMgIn(MoO4)3,-4.530701561425125
LiGaS2,-5.256838278558204
Cs2LiCr3F12,-3.854176371071413
LiVSiO4,-2.681973170603154
LiTaSiO5,-4.770950904728291
LiMnF3,-3.5514444029773338
LiFeP2O7,-3.692900264122724
Cs2LiPrBr6,-3.4374137871206556
NaLiV2O6,-1.9298765203149517
LiBiO2,-3.032837483321499
LiAlSiO4,-3.9993398502504593
LiVO3,-1.8308536690009194
LiVFe(P2O7)2,-2.3407291107056256
LiCoPO4,-3.8020303432844953
LiCrSnO4,-4.102462865799626
LiB(HO2)2,-3.95265479191778
KLiSO4,-2.508936096439569
LiPO3,-3.547882765217463
BaLiBO3,-3.373840691261374
LiLa(MoO4)2,-2.4509114481431173
LiAs(HO2)2,-3.09769554544262
Na2LiMnPCO7,-4.127440815435907
LiY(TlCl3)2,-4.219579273129288
LiMgAl3(SO4)6,-2.539174540191103
LiMo(PO3)4,-3.468363140682065
LiZnPO4,-3.923099164364997
NaLiFePO4F,-3.313968659780045
KLiS,-2.8013617747525275
LiYSiO4,-2.326308655903399
LiBi(PO3)4,-3.050802681349289
LiMoAsO6,-4.465104696482381
LiMnAsO4,-3.8956196064649142
K5LiGe2O7,-3.1546138895814773
LiPr2C2N4F3,-5.357065372223005
LiFePO4,-3.902845651222185
Rb2LiScCl6,-1.966093143723936
Rb2LiTlF6,-3.572250514561853
Rb2LiNd(BO3)2,-3.140144944830558
LiVF6,-2.7993219566095893
LiErO2,-3.2392895296332194
LiZnP2HO7,-3.655031243172185
CsLiBeF4,-2.945571198945222
LiVFeP2(HO5)2,-2.78753387737203
K2LiLuCl6,-2.169308653624193
LiMoP2O7,-3.625604097006902
LiH4SNO4,-3.456441882594902
LiFePO4,-3.902845651222185
SrLiAlF6,-4.417635758817814
LiGe2N3,-3.329890647176473
Cs2LiPrCl6,-2.88294436295513
LiSn2(PO4)3,-3.4054138263059874
Cs2LiGdCl6,-2.604813384166072
LiMnFeF6,-3.872447292949375
Rb2LiDyBr6,-2.7563213282915173
Rb2LiYBr6,-3.010630404265127
LiCaPO4,-2.7086317703209812
LiBiF6,-2.791206030280041
LiVOF3,-1.5560684314989326
LiSiNO,-3.5115803561650574
LiNd6B3O13F2,-4.520637049948798
LiSi6Bi9O26,-3.2578627441251484
LiFe(GeO3)2,-4.265511863473006
K2LiIrF6,-3.1952261834699174
RbLi(H2N)2,-3.169835157502523
LiB5H2O9,-5.4197191234920625
LiV2O5,-2.602216574686602
LiAlSiO4,-3.9993398502504593
RbLiO,-2.965035471827004
LiB(SO4)2,-3.0545509854433024
LiTl2GaF6,-4.070083425595233
LiVSiO4,-2.681973170603154
LiH2ClO,-1.6372159831568271
LiH4SNO4,-3.456441882594902
Cs2LiNdCl6,-2.9619929403125913
Na5LiMn2O8,-3.3365695887956637
Cs4KLiGa2F12,-4.012235851034556
KLiWO4,-2.293108858979415
LiP7,-3.019150376385288
Na5LiMn2P2(CO7)2,-4.132821968344615
LiPN2,-2.483777961178486
LiI,-1.8660364630898743
LiV2FeO7,-2.781627161623272
LiCr2P3O10,-3.7612841642197874
BaLi(B3O5)3,-5.113447513178424
LiCdPO4,-3.611593185390001
LiCr(PO3)3,-3.9276490293885127
LiVF5,-1.4781569209719825
Cs2LiCo(CN)6,-4.695357476195232
LiFePO4,-3.902845651222185
LiVF4,-1.6057874964109322
LiMn(PO3)4,-3.1059735824407606
Rb2LiFeF6,-3.084823064365212
LiLaO2,-1.4784571168615883
Na2LiTi3Al(PO4)6,-3.4905991106362215
LiInSiO4,-4.073146015798406
LiCoHSO5,-3.864887255100452
LiFeSO4F,-3.6836262900527803
LiH2BrO5,-3.880837860687591
BaLiMg2AlSi3(O5F)2,-4.109780909132868
LiCo(PO3)3,-3.195947432656596
LiDy6B3O14,-5.378703939417106
K2LiYCl6,-1.5009069312643268
LiYS2,-2.4390148930320983
LiVAsO5,-3.483677990389364
LiNbSn3(PO4)6,-2.8697087735515185
LiVFe(P2O7)2,-2.3407291107056256
Cs2LiInCl6,-3.235044791996093
LiSc(GeO3)2,-3.876087064235554
Ba4LiGa5Se12,-4.0878571578813
LiBiF4,-2.9734160635949616
Sr3LiNbO6,-2.9903014764748233
LiCa4(BN2)3,-4.818412658669385
Sr3LiSbO6,-3.307925927526498
LiMnF4,-3.9707975134484927
LiAl(PO3)4,-2.9231279934431234
LiFeF4,-3.8302571637310336
NaLiFe2(SiO3)4,-4.59716835383759
LiI,-1.8660364630898743
LiSn2(PO4)3,-3.4054138263059874
LiF,-1.935384708627578
LiCaCrF6,-3.148486279461617
LiCoAsO4,-4.007570509778762
LiP4WO12,-2.6182681558446284
Sr2LiReN4,-4.041995205872662
CsLiMoO4,-3.3364499997925128
Na5LiMn2P2(CO7)2,-4.132821968344615
LiMgAl(MoO4)3,-4.940378739694034
LiCrP2O7,-3.9331363735254006
LiLuF4,-2.767839686909448
LiNbO3,-2.4576314508454113
LiGaGeO4,-4.405349562493639
KLiSe,-1.8290668213323116
K2LiAsF6,-3.2864727643947775
NaLiHo2F8,-3.2152603539121394
LiBi(WO4)2,-3.5668165612021747
LiEr6B3O14,-5.107849857194466
LiFePHO5,-3.461385790647952
NaLiSiB3HO8,-4.896021367270551
LiGaSe2,-4.139865350920889
LiZnPH2O5,-3.2638336160450994
LiVF6,-2.7993219566095893
LiVFe(P2O7)2,-2.3407291107056256
Cs2LiYF6,-2.2892126251190366
NaLiSe,-1.9914513194520662
LiTi2(PO4)3,-2.2779132221239236
LiFeF4,-3.8302571637310336
LiV2P5O16,-2.266125583495847
LiCrCdF6,-4.042351331695207
LiVF4,-1.6057874964109322
Na2LiGaF6,-4.3894086090163835
Na5LiMn2P2(CO7)2,-4.132821968344615
LiSbO3,-3.2125309273060014
LiCaH3,-2.2459476351786725
NaLiCdS2,-2.3595380935496846
KLiHo2(MoO4)4,-4.607364235526168
Na3LiTi2F12,-2.3384455150544743
KNa2LiTi2Fe2(SiO3)8,-3.279938948899243
LiAgF2,-3.1500351848386656
SrLiPrTeO6,-3.2283326703644852
LiMnVO4,-2.5798644224600746
RbLiB4O7,-5.621521672668463
LiNbWO6,-3.7180550009224866
LiLuO2,-2.34832093763417
LiV(OF)2,-1.7511151607782796
LiH6ClO7,-2.78969446950553
LiVF5,-1.4781569209719825
Cs2LiYCl6,-2.288920540652455
LiNiPO4,-3.7783580857150367
LiBO2,-4.987121769666963
NaLiTi3O7,-1.5157070002983504
LiZn2(BH4)5,-3.6077518726510123
LiSnCl3,-3.616890944768276
LiTmO2,-3.199325175737065
LiH2IO,-2.42800210600372
K4LiIO6,-2.8969649224468883
LiTbSe2,-3.168184879193307
LiFeHSO5,-3.4544443159558154
LiYF4,-1.476032657501929
LiMoP2O7,-3.625604097006902
