"formula","Ea_1D","Ea_2D","Ea_3D","MagpieData range Number","MagpieData mean Number","MagpieData avg_dev Number","MagpieData range MendeleevNumber","MagpieData mean MendeleevNumber","MagpieData avg_dev MendeleevNumber","MagpieData range AtomicWeight","MagpieData mean AtomicWeight","MagpieData avg_dev AtomicWeight","MagpieData range MeltingT","MagpieData mean MeltingT","MagpieData avg_dev MeltingT","MagpieData range Column","MagpieData mean Column","MagpieData avg_dev Column","MagpieData range Row","MagpieData mean Row","MagpieData avg_dev Row","MagpieData range CovalentRadius","MagpieData mean CovalentRadius","MagpieData avg_dev CovalentRadius","MagpieData range Electronegativity","MagpieData mean Electronegativity","MagpieData avg_dev Electronegativity","MagpieData range NsValence","MagpieData mean NsValence","MagpieData avg_dev NsValence","MagpieData range NpValence","MagpieData mean NpValence","MagpieData avg_dev NpValence","MagpieData range NdValence","MagpieData mean NdValence","MagpieData avg_dev NdValence","MagpieData range NfValence","MagpieData mean NfValence","MagpieData avg_dev NfValence","MagpieData range NValence","MagpieData mean NValence","MagpieData avg_dev NValence","MagpieData range NsUnfilled","MagpieData mean NsUnfilled","MagpieData avg_dev NsUnfilled","MagpieData range NpUnfilled","MagpieData mean NpUnfilled","MagpieData avg_dev NpUnfilled","MagpieData range NdUnfilled","MagpieData mean NdUnfilled","MagpieData avg_dev NdUnfilled","MagpieData range NfUnfilled","MagpieData mean NfUnfilled","MagpieData avg_dev NfUnfilled","MagpieData range NUnfilled","MagpieData mean NUnfilled","MagpieData avg_dev NUnfilled","MagpieData range GSvolume_pa","MagpieData mean GSvolume_pa","MagpieData avg_dev GSvolume_pa","MagpieData range GSbandgap","MagpieData mean GSbandgap","MagpieData avg_dev GSbandgap","MagpieData range GSmagmom","MagpieData mean GSmagmom","MagpieData avg_dev GSmagmom","MagpieData range SpaceGroupNumber","MagpieData mean SpaceGroupNumber","MagpieData avg_dev SpaceGroupNumber","two_theta1","two_theta2","two_theta3","two_theta4","two_theta5","two_theta6","two_theta7","two_theta8","two_theta9","two_theta10","two_theta11","two_theta12","two_theta13","two_theta14","two_theta15","two_theta16","two_theta17","two_theta18","two_theta19","two_theta20"
"Li3(NbO4)1",0.4296875,0.4296875,0.4296875,38,10.25,7.6875,86,49.75,37.25,85.96538,22.2158725,17.672626875,2695.2,541.28375,552.1790625,15,9,7,3,2.375,0.65625,98,101.5,35.5,2.46,2.2875,1.1525,1,1.5,0.5,4,2,2,4,0.5,0.875,0,0,0,5,4,2.25,1,0.5,0.5,2,1,1,6,0.75,1.3125,0,0,0,6,2.25,1.1875,9.075,13.0474999999875,3.9424999999875,0,0,0,0,0,0,217,120.5,108.5,20.6476699396155,23.7268822990609,30.3375662112877,36.9813796177137,38.093328342648,42.0067558563172,43.4371399009063,48.555395767623,50.0885414422622,52.6897648759715,57.9896270770049,59.1270558612777,62.0179411345397,63.1113347160173,67.1683501977122,68.4241770667458,75.1551833874998,78.7363369483151,84.614214501845,86.6526661358656
"Li3Ba2NbN4",0.64453125,2.67578125,2.67578125,53,19,19.2,81,39.6,35.4,130.386,44.441018,46.8474652,2686.95,636.327,568.2038,14,7.2,6.24,4,3.1,1.54,144,126.2,44.16,2.15,1.848,0.9536,1,1.6,0.48,3,1.2,1.44,4,0.4,0.72,0,0,0,4,3.2,1.8,1,0.4,0.48,3,1.2,1.44,6,0.6,1.08,0,0,0,7,2.2,1.6,48.82125,25.42149999999,15.267400000004,6.437,2.5748,3.08976,0,0,0,35,215,16.8,17.8926435741916,18.0197859916669,18.3197953796845,21.973380264202,28.5202435385259,28.9903909851185,31.2458833261865,31.2974393136865,31.4977153950756,31.8335892155305,32.141177488626,35.1500320403704,36.1114013930539,36.5055743418795,37.1300215808273,42.0841507326956,44.8113457954871,49.6953723558666,54.5035988973471,59.2249223556421
"LiZnNbO4",0.390625,2.763671875,2.763671875,38,15.1428571428571,11.6326530612245,86,66.4285714285714,24.2448979591837,85.96538,32.7464257142857,26.5124367346939,2695.2,587.938571428571,647.657959183674,15,11.7142857142857,4.97959183673469,3,2.71428571428571,1.02040816326531,98,96.8571428571429,35.265306122449,2.46,2.57,0.994285714285714,1,1.71428571428571,0.408163265306122,4,2.28571428571429,1.95918367346939,10,2,2.85714285714286,0,0,0,11,6,1.71428571428571,1,0.285714285714286,0.408163265306122,2,1.14285714285714,0.979591836734694,6,0.857142857142857,1.46938775510204,0,0,0,7,2.28571428571429,1.3469387755102,9.075,12.1647619047571,3.49687074829388,0,0,0,0,0,0,217,100,100.571428571429,14.3510039494189,22.9037255923141,25.4351338341066,28.9334905701512,29.3236059867162,32.4374664321403,34.1524751806938,34.8232167382224,37.8412677718515,41.378100724961,47.8152122586395,51.5207368371128,52.2448463792051,54.6963021980656,56.0807188290267,58.0878896493089,59.9518536258944,60.8255539349017,71.2375366978396,86.6318216986117
"LiTm(SiO4)1",0.498046875,3.720703125,3.720703125,66,16.8571428571429,14.8979591836735,86,66.2857142857143,27.0204081632653,161.99321,38.2797585714286,37.3298432653061,1763.2,596.841428571429,660.376326530612,15,11.7142857142857,5.55102040816327,4,2.71428571428571,1.02040816326531,124,99,37.7142857142857,2.46,2.55571428571429,1.01061224489796,1,1.85714285714286,0.244897959183673,4,2.57142857142857,1.63265306122449,0,0,0,13,1.85714285714286,3.18367346938775,14,6.28571428571429,2.48979591836735,1,0.142857142857143,0.244897959183673,4,1.71428571428571,0.979591836734694,0,0,0,1,0.142857142857143,0.244897959183673,3,2,0.571428571428571,20.675,14.7476190476143,6.44870748298776,0.773,0.110428571428571,0.18930612244898,0,0,0,217,99.7142857142857,100.244897959184,16.3418948727394,19.7510180584191,24.3690742359852,28.4845230840331,30.6418894054113,33.0131249880864,33.890358771098,36.0858142789053,40.1214643474858,46.8409282906897,48.0256039259406,48.0481869426558,49.9372631596743,49.9482326791652,52.1775964911745,52.6894551004646,53.9849264790387,58.5961510997939,63.879108095939,70.4083841259156
"LiFe(SeO3)2",0.263671875,0.263671875,0.263671875,31,14.5,10.1,88,75.6,19.04,72.019,31.67024,23.750856,1756.2,358.149,364.0188,15,13.7,3.68,2,2.6,0.84,66,89.6,28.32,2.46,2.855,0.702,1,1.9,0.18,4,3.2,1.28,10,2.6,3.64,0,0,0,15,7.7,3.38,1,0.1,0.18,2,1.6,0.64,4,0.4,0.72,0,0,0,3,2.1,0.38,16.815,13.37933333333,5.659066666662,0.799,0.1598,0.25568,2.1106628,0.21106628,0.379919304,217,55.8,69.28,16.3415141913949,23.1901048119007,24.0044085605882,25.972518955717,27.6000101581416,30.9981888537965,31.4696649813044,32.2416931275784,33.0277461847837,39.4553498010982,41.24295442807,43.5635677330592,45.9257246409277,48.9578329165311,49.1518422394911,54.503131957848,54.9427012820829,56.637838420723,57.2986510024704,58.4919321397592
"Li3(AsO4)1",0.625,0.625,1.337890625,30,9.25,5.9375,86,54.375,40.03125,67.9806,19.967775,13.73845625,1035.2,333.78375,278.98375,15,10.25,6.9375,2,2.25,0.4375,62,95.875,29.875,2.46,2.36,1.08,1,1.625,0.46875,4,2.375,1.78125,10,1.25,2.1875,0,0,0,14,5.25,3.1875,1,0.375,0.46875,3,1.375,1.03125,0,0,0,0,0,0,2,1.75,0.5625,13.07,13.5468749999875,4.4418749999875,0,0,0,0,0,0,217,112.625,100.625,16.5198158247347,21.856474532636,22.9777872089633,24.4974349505014,28.4326114657624,28.6468188575325,33.2471975485583,33.3960510405524,36.386505506412,36.4588668174263,38.0408731816365,38.1733743020996,42.8486343753975,48.4145946094034,50.1077010590956,56.6913277303031,59.3117820993342,59.5966245427123,66.5693715305297,71.8733737664738
"CsLi(B6O10)1",1.572265625,1.572265625,1.572265625,52,9.33333333333333,5.07407407407407,86,72.6666666666667,15.9259259259259,125.9644519,20.26146955,12.5159980388889,2293.2,855.071111111111,995.285925925926,15,13.3333333333333,2.96296296296296,4,2.22222222222222,0.419753086419753,178,85.3333333333333,22.3703703703704,2.65,2.68944444444444,0.83395061728395,1,1.88888888888889,0.197530864197531,4,2.55555555555556,1.60493827160494,0,0,0,0,0,0,5,4.44444444444444,1.7283950617284,1,0.111111111111111,0.197530864197531,5,2.77777777777778,1.48148148148148,0,0,0,0,0,0,4,2.88888888888889,1.40740740740741,108.5925,14.8024074074056,11.4170576131654,1.524,0.508,0.677333333333333,0,0,0,217,87.4444444444444,83.8271604938272,16.7837280849909,16.81938579726,21.1194822265026,21.1409263320398,22.6086393703987,23.8477279099593,32.0592943487137,32.0835589555351,33.0751649662337,33.1129190322047,34.7321982561772,34.7457641206417,36.386296590743,36.4514015966614,38.1099529168731,41.2014144707477,42.6600396446074,42.6752476463621,48.8149757714683,55.6106466071854
"Na2KCr2Li3(Si12O30)1",1.7578125,2.8515625,2.8515625,21,10.12,3.3984,86,73.08,19.0656,45.0551,20.5380207712,7.077987417984,2125.2,573.7468,662.861792,15,13.32,3.5424,2,2.4,0.528,137,90.18,29.016,2.62,2.6988,0.88944,1,1.84,0.2688,4,2.88,1.344,5,0.2,0.384,0,0,0,5,4.92,1.3824,1,0.16,0.2688,4,2.16,0.8832,5,0.2,0.384,0,0,0,5,2.52,0.9888,64.0016666667,14.443666666664,6.66669333332992,0.773,0.18552,0.2819904,0,0,0,217,98.32,103.584,12.4218443376607,20.2072494209672,21.4984734016977,24.9927368653826,27.0041442060283,27.5715020749854,30.6611393446932,32.3483426104229,35.3782163071376,39.8367908888204,45.0635816930619,47.4013238741456,47.8552019001568,49.1826408727834,51.28511295438,52.7955467370235,54.3226373599625,60.6006214944244,63.8454864537417,66.4292650709499
"Na2KFe2Li3Si12O30",1.7578125,2.685546875,2.685546875,23,10.2,3.504,86,73.32,18.6624,48.904,20.6919767712,7.281209337984,1756.2,558.9868,641.607392,15,13.4,3.408,2,2.4,0.528,137,89.9,28.68,2.62,2.7056,0.88128,1,1.88,0.2112,4,2.88,1.344,6,0.24,0.4608,0,0,0,7,5,1.44,1,0.12,0.2112,4,2.16,0.8832,4,0.16,0.3072,0,0,0,3,2.44,0.8736,64.0016666667,14.425266666664,6.67994133332992,0.773,0.18552,0.2819904,2.1106628,0.084426512,0.16209890304,217,98.32,103.584,12.3463521162767,20.1266792133234,21.397221327717,24.8390138009667,26.8457914044074,27.4575179731578,30.4928769252715,32.1749798853419,35.2340304891714,39.6377191853911,44.8441490312908,47.2028993034713,47.6527369287315,48.9291611195374,50.9523401075873,52.5074252204194,54.0629650772673,60.3106617350856,63.4634250761282,66.1334507117229
"Li(CN)1",0.751953125,1.2890625,1.2890625,4,5.33333333333333,1.55555555555556,81,53.3333333333333,34.8888888888889,7.0657,10.9861333333333,2.69675555555556,3759.95,1446.58,1584.28,14,10,6,0,2,0,57,91.6666666666667,24.2222222222222,2.06,2.19,0.806666666666666,1,1.66666666666667,0.444444444444444,3,1.66666666666667,1.11111111111111,0,0,0,0,0,0,4,3.33333333333333,1.55555555555556,1,0.333333333333333,0.444444444444444,4,2.33333333333333,1.55555555555556,0,0,0,0,0,0,3,2.66666666666667,1.11111111111111,10.9533333333,12.3340277777667,4.46268518517778,6.437,3.64433333333333,2.42955555555556,0,0,0,35,205.666666666667,15.5555555555556,16.7861712035266,24.2823845067151,27.0382951961349,27.4596057911178,28.9057056805764,31.4039958242618,33.9467502401685,37.8073085187895,40.9382569732933,41.1382422048468,41.9080809643272,48.8036355954779,49.1973636232749,51.973131125301,52.5841226367572,53.8065498285759,55.2378163475725,57.9158986091267,64.9631537474789,76.5328335442201
