iter	RMSE
126	0.3039620847
127	0.302388599
128	0.3013058987
129	0.2997694317
130	0.2988581528
131	0.2980086375
132	0.2969872334
133	0.2964742842
134	0.2951486615
135	0.2939445769
136	0.2926802274
137	0.2912649286
138	0.290036929
139	0.2884048848
140	0.2877961603
141	0.2866088901
142	0.2851681119
143	0.2844010345
144	0.2831197144
145	0.2819926237
146	0.2808833621
147	0.2801384408
148	0.2788901653
149	0.2785065726
150	0.2771859852
151	0.2762467849
152	0.2750880571
153	0.2747789017
154	0.2738085476
155	0.2729412269
156	0.271659945
157	0.2706336246
158	0.2700604733
159	0.2690563221
160	0.2687865124
161	0.2669953706
162	0.266019076
163	0.265033094
164	0.263913124
165	0.2635572047
166	0.2627264633
167	0.2624547055
168	0.261425525
169	0.2611935719
170	0.2610092753
171	0.2598985398
172	0.2587114941
173	0.2565554788
174	0.2548516991
175	0.2545779772
176	0.2535407137
177	0.2520312955
178	0.250222656
179	0.2491309309
180	0.2476377965
181	0.2465096208
182	0.2454739295
183	0.2448852372
184	0.2435839545
185	0.2428581479
186	0.2426774713
187	0.2418483334
188	0.2414112967
189	0.2402808264
190	0.2395931595
191	0.238080054
192	0.2373757429
193	0.2362373463
194	0.2352938221
195	0.2341862916
196	0.2339750286
197	0.2333184971
198	0.2322436484
199	0.2310908953
200	0.2298770167
201	0.2289708646
202	0.2277478969
203	0.2260645306
204	0.2256718303
205	0.2243387613
206	0.2233686987
207	0.2226592737
208	0.2218512402
209	0.2215922948
210	0.2204815294
211	0.2195607417
212	0.2190858889
213	0.2187132198
214	0.2178100387
215	0.2171348941
216	0.216830714
217	0.2162111469
218	0.215292238
219	0.2142547164
220	0.2130739847
221	0.2125142495
222	0.2117885332
223	0.211015574
224	0.2108373049
225	0.2107086806
226	0.2102001179
227	0.2096260073
228	0.2094756016
229	0.2092602414
230	0.2084253909
231	0.207426984
232	0.2067060937
233	0.2063256855
234	0.205639636
235	0.2048610121
236	0.2037691393
237	0.202901989
238	0.2027052852
239	0.2020548475
240	0.2010456988
241	0.2004702549
242	0.1995181178
243	0.1987129883
244	0.198480328
245	0.1978249102
246	0.1975710079
247	0.1968332503
248	0.196370859
249	0.1955778728
250	0.1947255887
251	0.1942834288
252	0.1934847803
253	0.1931292715
254	0.1920929714
255	0.1917403477
256	0.1915466822
257	0.1906522028
258	0.1902072506
259	0.1897640607
260	0.189529803
261	0.1891684315
262	0.189067466
263	0.1889822455
264	0.187594836
265	0.1870698335
266	0.186337385
267	0.1853891259
268	0.1848646943
269	0.1845011404
270	0.1840320023
271	0.1829117037
272	0.1828146965
273	0.1817747548
274	0.1814258901
275	0.1805711243
276	0.1796868974
277	0.1793329433
278	0.1784090966
279	0.1781168821
280	0.1771325475
281	0.1767669182
282	0.1758704051
283	0.1754905508
284	0.1747274056
285	0.174195085
286	0.1734578023
287	0.1727006864
288	0.1725911927
289	0.1722045647
290	0.1720945678
291	0.1715923878
292	0.1712861051
293	0.1704524614
294	0.1701896077
295	0.1694238266
296	0.1691652005
297	0.1690375361
298	0.1683582255
299	0.16782016
300	0.1671478546
301	0.1668124535
302	0.1662825581
303	0.1655180754
304	0.1647204692
305	0.1645850374
306	0.1645060049
307	0.1639097871
308	0.163726421
309	0.163430408
310	0.163368748
311	0.1630250199
312	0.1623338743
313	0.1616351914
314	0.1605935744
315	0.1600640157
316	0.1595337841
317	0.1588679291
318	0.1586894734
319	0.1581714843
320	0.1575839206
321	0.1571264323
322	0.1570187526
323	0.1565981795
324	0.1560120016
325	0.1557220623
326	0.1548629119
327	0.1545510562
328	0.1543394299
329	0.1537868232
330	0.1535757052
331	0.1530727335
332	0.153021304
333	0.1522372389
334	0.1519583585
335	0.1518804661
336	0.1510892112
337	0.1505634558
338	0.1502841705
339	0.1499133714
340	0.1495073567
341	0.149459203
342	0.1493943306
343	0.148960213
344	0.1485223632
345	0.1479850214
346	0.1473631825
347	0.1470151941
348	0.1466344328
349	0.1462392259
350	0.1456007702
351	0.1452329643
352	0.1445785989
353	0.1445362187
354	0.1439491511
355	0.1437025551
356	0.1433771349
357	0.1429859453
358	0.1426038316
359	0.1423434448
360	0.1417021787
361	0.141311086
362	0.1408679534
363	0.1406085871
364	0.1400532137
365	0.1393551885
366	0.1390971964
367	0.1387420074
368	0.1387074085
369	0.138367687
370	0.1379762395
371	0.1377505666
372	0.1372824029
373	0.1370291815
374	0.1367371761
375	0.1361995495
376	0.1357865829
377	0.1355921583
378	0.1352490895
379	0.1348329691
380	0.1340539091
381	0.1340146377
382	0.1332956452
383	0.1328543106
384	0.1327442283
385	0.132540938
386	0.1324689664
387	0.1323275819
388	0.1320836093
389	0.1318143466
390	0.1317697984
391	0.1314202949
392	0.1312655768
393	0.1307251934
394	0.1305060479
395	0.1303402969
396	0.1301272182
397	0.1299054843
398	0.129713423
399	0.1293970575
400	0.1289989216
401	0.1287011123
402	0.1283125822
403	0.1278740455
404	0.1276604551
405	0.127096195
406	0.127035225
407	0.1267323337
408	0.1263744156
409	0.1258546777
410	0.1257929017
411	0.125255524
412	0.1250962664
413	0.1248246561
414	0.1245007306
415	0.1244540285
416	0.1241035097
417	0.1238716662
418	0.1235758058
419	0.1231248364
420	0.1225972546
421	0.1224370669
422	0.1219474707
423	0.1218792106
424	0.1217764411
425	0.1217410014
426	0.1214909821
427	0.1213377375
428	0.1210586135
429	0.1204551254
430	0.1201198569
431	0.1200825028
432	0.1199216675
433	0.1196107851
434	0.1193229817
435	0.1189811181
436	0.1186478916
437	0.1183391342
438	0.1180774796
439	0.1177311311
440	0.1175973743
441	0.1172544079
442	0.1169355437
443	0.1167728902
444	0.1167110505
445	0.1166271517
446	0.1164871172
447	0.1162301465
448	0.1160073112
449	0.1158751999
450	0.1158496759
451	0.1156437803
452	0.1152718555
453	0.1149681124
454	0.114836853
455	0.1145444232
456	0.1141940239
457	0.1138671695
458	0.1134924059
459	0.1131572086
460	0.1130298367
461	0.1127890658
462	0.1125190268
463	0.1119782962
464	0.1116482354
465	0.1114878826
466	0.1113879548
467	0.1110152783
468	0.1109587085
469	0.1109092989
470	0.1105374861
471	0.1101968018
472	0.1099635733
473	0.1098065556
474	0.1094146699
475	0.1092980719
476	0.109154177
477	0.1088146158
478	0.1087787811
479	0.1087493356
480	0.1085323864
481	0.1081816777
482	0.1080029171
483	0.1078889922
484	0.1076058107
485	0.107187797
486	0.1071548067
487	0.1067378347
488	0.106536498
489	0.1065177554
490	0.1063704253
491	0.1061148312
492	0.1056982465
493	0.1053204633
494	0.1052283208
495	0.1049454256
496	0.1046818547
497	0.1043664693
498	0.1040941475
499	0.1038582583
